Day,Week,Attribute,Scripture,Theme/Focus,Notes,Status
1,1,Creation,Genesis 1:1-5,God Creates Light,,Planned
2,1,Creation,Genesis 1:6-8,God Creates Expanse,,Planned
3,1,Creation,Genesis 1:9-13,God Creates Land and Plants,,Planned
4,1,Creation,Genesis 1:14-19,God Creates Luminaries,,Planned
5,1,Creation,Genesis 1:20-23,God Creates Living Creatures in Waters and Sky,,Planned
6,1,Creation,Genesis 1:24-25,God Creates Land Animals,,Planned
7,2,Image of God,Genesis 1:26-28,Humanity in God's Image,,Planned
8,2,Provision,Genesis 1:29-31,God Provides and Declares Good,,Planned
9,2,Rest,Genesis 2:1-3,Sabbath Rest,,Planned
10,2,Formation,Genesis 2:4-7,God Forms Humanity,,Planned
11,2,Garden,Genesis 2:8-17,Eden and Command,,Planned
12,2,Covenant,Genesis 2:18-25,Companionship and Union,,Planned
