reference,translation,text
Genesis 1:1,NASB,In the beginning God created the heavens and the earth.
Genesis 1:2,NASB,"The earth was formless and void, and darkness was over the surface of the deep, and the Spirit of God was moving over the surface of the waters."
Genesis 1:3,NASB,"Then God said, 'Let there be light'; and there was light."
Genesis 1:4,NASB,God saw that the light was good; and God separated the light from the darkness.
Genesis 1:5,NASB,"God called the light day, and the darkness He called night. And there was evening and there was morning, one day."
Genesis 1:6,NASB,"Then God said, 'Let there be an expanse in the midst of the waters, and let it separate the waters from the waters.'"
Genesis 1:7,NASB,"God made the expanse, and separated the waters which were below the expanse from the waters which were above the expanse; and it was so."
Genesis 1:8,NASB,"God called the expanse heaven. And there was evening and there was morning, a second day."
Genesis 1:9,NASB,"Then God said, 'Let the waters below the heavens be gathered into one place, and let the dry land appear'; and it was so."
Genesis 1:10,NASB,"God called the dry land earth, and the gathering of the waters He called seas; and God saw that it was good."
Genesis 1:11,NASB,"Then God said, 'Let the earth sprout vegetation: plants yielding seed, [and] fruit trees on the earth bearing fruit after their kind with seed in them'; and it was so."
Genesis 1:12,NASB,"The earth brought forth vegetation, plants yielding seed after their kind, and trees bearing fruit with seed in them, after their kind; and God saw that it was good."
