author,source_title,publication_year,citation_locator,publisher,publication_city,source_url,public_domain,needs_enrichment,quote_preview
Martin Luther,Table Talk,1566,,,,https://ccel.org,true,true,"I have held many things in my hands, and I have lost them all; but whatever I have placed in God's hands, that I still p"
Martin Luther,Luther's Works (Prayer Selections),1535,,,,https://archive.org,true,true,"Prayer is not overcoming God's reluctance, but laying hold of His willingness."
John Calvin,Institutes of the Christian Religion,1536,,,,https://ccel.org,true,true,Without knowledge of self there is no knowledge of God.
John Calvin,Sermons and Letters,1561,,,,https://archive.org,true,true,A dog barks when his master is attacked. I would be a coward if I saw God's truth attacked and yet would remain silent.
John Owen,Of the Mortification of Sin,1656,,,,https://monergism.com,true,true,"Be killing sin, or sin will be killing you."
John Owen,Of the Mortification of Sin,1656,,,,https://ccel.org,true,true,The vigor and power and comfort of our spiritual life depend on the mortification of the deeds of the flesh.
Thomas Watson,The Doctrine of Repentance,1668,,,,https://monergism.com,true,true,"Till sin be bitter, Christ will not be sweet."
Thomas Watson,A Body of Divinity,1692,,,,https://ccel.org,true,true,The way to be humble is to behold Christ's humility.
Jonathan Edwards,Works of Jonathan Edwards,1834,,,,https://archive.org,true,true,"Grace is but glory begun, and glory is but grace perfected."
Jonathan Edwards,Resolutions,1722,,,,https://ccel.org,true,true,"Resolved, never to do anything which I should be afraid to do if it were the last hour of my life."
John Bunyan,A Discourse on Prayer,1662,,,,https://gutenberg.org,true,true,"Prayer will make a man cease from sin, or sin will entice a man to cease from prayer."
John Bunyan,A Discourse on Prayer,1662,,,,https://archive.org,true,true,In prayer it is better to have a heart without words than words without a heart.
Matthew Henry,Matthew Henry's Commentary on the Whole Bible,1706,,,,https://ccel.org,true,true,They who would have good wages must be careful to do good work.
Matthew Henry,Matthew Henry's Commentary on the Whole Bible,1706,,,,https://archive.org,true,true,"Extraordinary afflictions are not always the punishment of extraordinary sins, but sometimes the trial of extraordinary "
Charles H. Spurgeon,Metropolitan Tabernacle Pulpit,1888,,,,https://spurgeongems.org,true,true,I have a great need for Christ: I have a great Christ for my need.
Charles H. Spurgeon,Spurgeon's Sermons,1873,,,,https://spurgeongems.org,true,true,By perseverance the snail reached the ark.
Charles H. Spurgeon,Spurgeon's Sermons,1879,,,,https://spurgeongems.org,true,true,Discernment is not knowing the difference between right and wrong. It is knowing the difference between right and almost
John Wesley,Sermons and Tracts,1770,,,,http://wesley.nnu.edu,true,true,"Though we cannot think alike, may we not love alike?"
George Whitefield,Journals of George Whitefield,1771,,,,https://archive.org,true,true,We are immortal till our work on earth is done.
Arthur W. Pink,The Sovereignty of God,1918,,,,https://monergism.com,true,true,An ineffable but all-sufficient sacrifice had to be made before God could righteously forgive His people.
Arthur W. Pink,Profiting from the Word,1932,,,,https://monergism.com,true,true,"Growth in grace is not the work of a day, nor a month, nor a year, but of a whole life."
Richard Sibbes,The Bruised Reed,1630,,,,https://ccel.org,true,true,"As God delights in His own beauty, so must we learn to delight in His holiness."
Richard Sibbes,The Bruised Reed,1630,,,,https://ccel.org,true,true,There is more mercy in Christ than sin in us.
Samuel Rutherford,Letters of Samuel Rutherford,1664,,,,https://archive.org,true,true,Faith's greatest triumphs are achieved in the hour of deepest darkness.
