Day,Week,Attribute,Scripture,Theme/Focus,Notes,Status
1,1,Ezekiel 37,Ezekiel 37:1-2,Day 1 focus | Ezekiel 37:1-2,Generated by scripture harness,planned
2,1,Ezekiel 37,Ezekiel 37:3-4,Day 2 focus | Ezekiel 37:3-4,Generated by scripture harness,planned
3,1,Ezekiel 37,Ezekiel 37:5-7,Day 3 focus | Ezekiel 37:5-7,Generated by scripture harness,planned
4,1,Ezekiel 37,Ezekiel 37:8-9,Day 4 focus | Ezekiel 37:8-9,Generated by scripture harness,planned
5,1,Ezekiel 37,Ezekiel 37:10-11,Day 5 focus | Ezekiel 37:10-11,Generated by scripture harness,planned
6,1,Ezekiel 37,Ezekiel 37:12-14,Day 6 focus | Ezekiel 37:12-14,Generated by scripture harness,planned
7,1,Ezekiel 37,Ezekiel 37:15-16,Day 7 focus | Ezekiel 37:15-16,Generated by scripture harness,planned
8,2,Ezekiel 37,Ezekiel 37:17-18,Day 8 focus | Ezekiel 37:17-18,Generated by scripture harness,planned
9,2,Ezekiel 37,Ezekiel 37:19-21,Day 9 focus | Ezekiel 37:19-21,Generated by scripture harness,planned
10,2,Ezekiel 37,Ezekiel 37:22-23,Day 10 focus | Ezekiel 37:22-23,Generated by scripture harness,planned
11,2,Ezekiel 37,Ezekiel 37:24-25,Day 11 focus | Ezekiel 37:24-25,Generated by scripture harness,planned
12,2,Ezekiel 37,Ezekiel 37:26-28,Day 12 focus | Ezekiel 37:26-28,Generated by scripture harness,planned
