Day,Week,Attribute,Scripture,Theme/Focus,Notes,Status
1,1,Job 1-3,Job 1:1-5,Day 1 focus | Job 1:1-5,Generated by scripture harness,planned
2,1,Job 1-3,Job 1:6-10,Day 2 focus | Job 1:6-10,Generated by scripture harness,planned
3,1,Job 1-3,Job 1:11-15,Day 3 focus | Job 1:11-15,Generated by scripture harness,planned
4,1,Job 1-3,Job 1:16-20,Day 4 focus | Job 1:16-20,Generated by scripture harness,planned
5,1,Job 1-3,Job 1:21-22,Day 5 focus | Job 1:21-22,Generated by scripture harness,planned
6,1,Job 1-3,Job 2:4-8,Day 6 focus | Job 2:4-8,Generated by scripture harness,planned
7,1,Job 1-3,Job 2:9-13,Day 7 focus | Job 2:9-13,Generated by scripture harness,planned
8,2,Job 1-3,Job 3:1-5,Day 8 focus | Job 3:1-5,Generated by scripture harness,planned
9,2,Job 1-3,Job 3:6-10,Day 9 focus | Job 3:6-10,Generated by scripture harness,planned
10,2,Job 1-3,Job 3:11-15,Day 10 focus | Job 3:11-15,Generated by scripture harness,planned
11,2,Job 1-3,Job 3:16-20,Day 11 focus | Job 3:16-20,Generated by scripture harness,planned
12,2,Job 1-3,Job 3:21-25,Day 12 focus | Job 3:21-25,Generated by scripture harness,planned
