Day,Week,Attribute,Scripture,Theme/Focus,Notes,Status
1,1,Ezekiel 38-39,Ezekiel 38:1-4,Day 1 focus | Ezekiel 38:1-4,Generated by scripture harness,planned
2,1,Ezekiel 38-39,Ezekiel 38:5-8,Day 2 focus | Ezekiel 38:5-8,Generated by scripture harness,planned
3,1,Ezekiel 38-39,Ezekiel 38:9-13,Day 3 focus | Ezekiel 38:9-13,Generated by scripture harness,planned
4,1,Ezekiel 38-39,Ezekiel 38:14-17,Day 4 focus | Ezekiel 38:14-17,Generated by scripture harness,planned
5,1,Ezekiel 38-39,Ezekiel 38:18-21,Day 5 focus | Ezekiel 38:18-21,Generated by scripture harness,planned
6,1,Ezekiel 38-39,Ezekiel 38:22-23,Day 6 focus | Ezekiel 38:22-23,Generated by scripture harness,planned
7,1,Ezekiel 38-39,Ezekiel 39:4-7,Day 7 focus | Ezekiel 39:4-7,Generated by scripture harness,planned
8,2,Ezekiel 38-39,Ezekiel 39:8-11,Day 8 focus | Ezekiel 39:8-11,Generated by scripture harness,planned
9,2,Ezekiel 38-39,Ezekiel 39:12-16,Day 9 focus | Ezekiel 39:12-16,Generated by scripture harness,planned
10,2,Ezekiel 38-39,Ezekiel 39:17-20,Day 10 focus | Ezekiel 39:17-20,Generated by scripture harness,planned
11,2,Ezekiel 38-39,Ezekiel 39:21-24,Day 11 focus | Ezekiel 39:21-24,Generated by scripture harness,planned
12,2,Ezekiel 38-39,Ezekiel 39:25-29,Day 12 focus | Ezekiel 39:25-29,Generated by scripture harness,planned
