Day,Week,Attribute,Scripture,Theme/Focus,Notes,Status
1,1,Psalms 1-3,Psalms 1:1-2,Day 1 focus | Psalms 1:1-2,Generated by scripture harness,planned
2,1,Psalms 1-3,Psalms 1:3-4,Day 2 focus | Psalms 1:3-4,Generated by scripture harness,planned
3,1,Psalms 1-3,Psalms 1:5-6,Day 3 focus | Psalms 1:5-6,Generated by scripture harness,planned
4,1,Psalms 1-3,Psalms 2:1-2,Day 4 focus | Psalms 2:1-2,Generated by scripture harness,planned
5,1,Psalms 1-3,Psalms 2:3-4,Day 5 focus | Psalms 2:3-4,Generated by scripture harness,planned
6,1,Psalms 1-3,Psalms 2:5-7,Day 6 focus | Psalms 2:5-7,Generated by scripture harness,planned
7,1,Psalms 1-3,Psalms 2:8-9,Day 7 focus | Psalms 2:8-9,Generated by scripture harness,planned
8,2,Psalms 1-3,Psalms 2:10-11,Day 8 focus | Psalms 2:10-11,Generated by scripture harness,planned
9,2,Psalms 1-3,Psalms 2:12,Day 9 focus | Psalms 2:12,Generated by scripture harness,planned
10,2,Psalms 1-3,Psalms 3:2-3,Day 10 focus | Psalms 3:2-3,Generated by scripture harness,planned
11,2,Psalms 1-3,Psalms 3:4-5,Day 11 focus | Psalms 3:4-5,Generated by scripture harness,planned
12,2,Psalms 1-3,Psalms 3:6-8,Day 12 focus | Psalms 3:6-8,Generated by scripture harness,planned
