Day,Week,Attribute,Scripture,Theme/Focus,Notes,Status
1,1,Genesis 1-2,Genesis 1:1-4,Day 1 focus | Genesis 1:1-4,Generated by scripture harness,planned
2,1,Genesis 1-2,Genesis 1:5-9,Day 2 focus | Genesis 1:5-9,Generated by scripture harness,planned
3,1,Genesis 1-2,Genesis 1:10-14,Day 3 focus | Genesis 1:10-14,Generated by scripture harness,planned
4,1,Genesis 1-2,Genesis 1:15-18,Day 4 focus | Genesis 1:15-18,Generated by scripture harness,planned
5,1,Genesis 1-2,Genesis 1:19-23,Day 5 focus | Genesis 1:19-23,Generated by scripture harness,planned
6,1,Genesis 1-2,Genesis 1:24-28,Day 6 focus | Genesis 1:24-28,Generated by scripture harness,planned
7,1,Genesis 1-2,Genesis 1:29-31,Day 7 focus | Genesis 1:29-31,Generated by scripture harness,planned
8,2,Genesis 1-2,Genesis 2:2-6,Day 8 focus | Genesis 2:2-6,Generated by scripture harness,planned
9,2,Genesis 1-2,Genesis 2:7-11,Day 9 focus | Genesis 2:7-11,Generated by scripture harness,planned
10,2,Genesis 1-2,Genesis 2:12-15,Day 10 focus | Genesis 2:12-15,Generated by scripture harness,planned
11,2,Genesis 1-2,Genesis 2:16-20,Day 11 focus | Genesis 2:16-20,Generated by scripture harness,planned
12,2,Genesis 1-2,Genesis 2:21-25,Day 12 focus | Genesis 2:21-25,Generated by scripture harness,planned
