Day,Week,Attribute,Scripture,Theme/Focus,Notes,Status
1,1,Matthew 1-2,Matthew 1:1-4,Day 1 focus | Matthew 1:1-4,Generated by scripture harness,planned
2,1,Matthew 1-2,Matthew 1:5-8,Day 2 focus | Matthew 1:5-8,Generated by scripture harness,planned
3,1,Matthew 1-2,Matthew 1:9-12,Day 3 focus | Matthew 1:9-12,Generated by scripture harness,planned
4,1,Matthew 1-2,Matthew 1:13-16,Day 4 focus | Matthew 1:13-16,Generated by scripture harness,planned
5,1,Matthew 1-2,Matthew 1:17-20,Day 5 focus | Matthew 1:17-20,Generated by scripture harness,planned
6,1,Matthew 1-2,Matthew 1:21-24,Day 6 focus | Matthew 1:21-24,Generated by scripture harness,planned
7,1,Matthew 1-2,Matthew 1:25,Day 7 focus | Matthew 1:25,Generated by scripture harness,planned
8,2,Matthew 1-2,Matthew 2:4-7,Day 8 focus | Matthew 2:4-7,Generated by scripture harness,planned
9,2,Matthew 1-2,Matthew 2:8-11,Day 9 focus | Matthew 2:8-11,Generated by scripture harness,planned
10,2,Matthew 1-2,Matthew 2:12-15,Day 10 focus | Matthew 2:12-15,Generated by scripture harness,planned
11,2,Matthew 1-2,Matthew 2:16-19,Day 11 focus | Matthew 2:16-19,Generated by scripture harness,planned
12,2,Matthew 1-2,Matthew 2:20-23,Day 12 focus | Matthew 2:20-23,Generated by scripture harness,planned
