Day,Week,Attribute,Scripture,Theme/Focus,Notes,Status
1,1,Acts 9,Acts 9:1-3,Day 1 focus | Acts 9:1-3,Generated by scripture harness,planned
2,1,Acts 9,Acts 9:4-7,Day 2 focus | Acts 9:4-7,Generated by scripture harness,planned
3,1,Acts 9,Acts 9:8-10,Day 3 focus | Acts 9:8-10,Generated by scripture harness,planned
4,1,Acts 9,Acts 9:11-14,Day 4 focus | Acts 9:11-14,Generated by scripture harness,planned
5,1,Acts 9,Acts 9:15-17,Day 5 focus | Acts 9:15-17,Generated by scripture harness,planned
6,1,Acts 9,Acts 9:18-21,Day 6 focus | Acts 9:18-21,Generated by scripture harness,planned
7,1,Acts 9,Acts 9:22-25,Day 7 focus | Acts 9:22-25,Generated by scripture harness,planned
8,2,Acts 9,Acts 9:26-28,Day 8 focus | Acts 9:26-28,Generated by scripture harness,planned
9,2,Acts 9,Acts 9:29-32,Day 9 focus | Acts 9:29-32,Generated by scripture harness,planned
10,2,Acts 9,Acts 9:33-35,Day 10 focus | Acts 9:33-35,Generated by scripture harness,planned
11,2,Acts 9,Acts 9:36-39,Day 11 focus | Acts 9:36-39,Generated by scripture harness,planned
12,2,Acts 9,Acts 9:40-43,Day 12 focus | Acts 9:40-43,Generated by scripture harness,planned
