Day,Week,Attribute,Scripture,Theme/Focus,Notes,Status
1,1,Exodus 19-20,Exodus 19:1-4,Day 1 focus | Exodus 19:1-4,Generated by scripture harness,planned
2,1,Exodus 19-20,Exodus 19:5-8,Day 2 focus | Exodus 19:5-8,Generated by scripture harness,planned
3,1,Exodus 19-20,Exodus 19:9-12,Day 3 focus | Exodus 19:9-12,Generated by scripture harness,planned
4,1,Exodus 19-20,Exodus 19:13-17,Day 4 focus | Exodus 19:13-17,Generated by scripture harness,planned
5,1,Exodus 19-20,Exodus 19:18-21,Day 5 focus | Exodus 19:18-21,Generated by scripture harness,planned
6,1,Exodus 19-20,Exodus 19:22-25,Day 6 focus | Exodus 19:22-25,Generated by scripture harness,planned
7,1,Exodus 19-20,Exodus 20:1-4,Day 7 focus | Exodus 20:1-4,Generated by scripture harness,planned
8,2,Exodus 19-20,Exodus 20:5-9,Day 8 focus | Exodus 20:5-9,Generated by scripture harness,planned
9,2,Exodus 19-20,Exodus 20:10-13,Day 9 focus | Exodus 20:10-13,Generated by scripture harness,planned
10,2,Exodus 19-20,Exodus 20:14-17,Day 10 focus | Exodus 20:14-17,Generated by scripture harness,planned
11,2,Exodus 19-20,Exodus 20:18-21,Day 11 focus | Exodus 20:18-21,Generated by scripture harness,planned
12,2,Exodus 19-20,Exodus 20:22-26,Day 12 focus | Exodus 20:22-26,Generated by scripture harness,planned
