Day,Week,Attribute,Scripture,Theme/Focus,Notes,Status
1,1,Luke 15,Luke 15:1-2,Day 1 focus | Luke 15:1-2,Generated by scripture harness,planned
2,1,Luke 15,Luke 15:3-5,Day 2 focus | Luke 15:3-5,Generated by scripture harness,planned
3,1,Luke 15,Luke 15:6-8,Day 3 focus | Luke 15:6-8,Generated by scripture harness,planned
4,1,Luke 15,Luke 15:9-10,Day 4 focus | Luke 15:9-10,Generated by scripture harness,planned
5,1,Luke 15,Luke 15:11-13,Day 5 focus | Luke 15:11-13,Generated by scripture harness,planned
6,1,Luke 15,Luke 15:14-16,Day 6 focus | Luke 15:14-16,Generated by scripture harness,planned
7,1,Luke 15,Luke 15:17-18,Day 7 focus | Luke 15:17-18,Generated by scripture harness,planned
8,2,Luke 15,Luke 15:19-21,Day 8 focus | Luke 15:19-21,Generated by scripture harness,planned
9,2,Luke 15,Luke 15:22-24,Day 9 focus | Luke 15:22-24,Generated by scripture harness,planned
10,2,Luke 15,Luke 15:25-26,Day 10 focus | Luke 15:25-26,Generated by scripture harness,planned
11,2,Luke 15,Luke 15:27-29,Day 11 focus | Luke 15:27-29,Generated by scripture harness,planned
12,2,Luke 15,Luke 15:30-32,Day 12 focus | Luke 15:30-32,Generated by scripture harness,planned
