Day,Week,Attribute,Scripture,Theme/Focus,Notes,Status
1,1,Proverbs 1-2,Proverbs 1:1-4,Day 1 focus | Proverbs 1:1-4,Generated by scripture harness,planned
2,1,Proverbs 1-2,Proverbs 1:5-9,Day 2 focus | Proverbs 1:5-9,Generated by scripture harness,planned
3,1,Proverbs 1-2,Proverbs 1:10-13,Day 3 focus | Proverbs 1:10-13,Generated by scripture harness,planned
4,1,Proverbs 1-2,Proverbs 1:14-18,Day 4 focus | Proverbs 1:14-18,Generated by scripture harness,planned
5,1,Proverbs 1-2,Proverbs 1:19-22,Day 5 focus | Proverbs 1:19-22,Generated by scripture harness,planned
6,1,Proverbs 1-2,Proverbs 1:23-27,Day 6 focus | Proverbs 1:23-27,Generated by scripture harness,planned
7,1,Proverbs 1-2,Proverbs 1:28-32,Day 7 focus | Proverbs 1:28-32,Generated by scripture harness,planned
8,2,Proverbs 1-2,Proverbs 1:33,Day 8 focus | Proverbs 1:33,Generated by scripture harness,planned
9,2,Proverbs 1-2,Proverbs 2:4-8,Day 9 focus | Proverbs 2:4-8,Generated by scripture harness,planned
10,2,Proverbs 1-2,Proverbs 2:9-12,Day 10 focus | Proverbs 2:9-12,Generated by scripture harness,planned
11,2,Proverbs 1-2,Proverbs 2:13-17,Day 11 focus | Proverbs 2:13-17,Generated by scripture harness,planned
12,2,Proverbs 1-2,Proverbs 2:18-22,Day 12 focus | Proverbs 2:18-22,Generated by scripture harness,planned
