Day,Week,Attribute,Scripture,Theme/Focus,Notes,Status
1,1,Proverbs 1-2,Proverbs 1:1-7,Wisdom begins in the fear of the Lord,Generated by scripture harness,planned
2,1,Proverbs 1-2,Proverbs 1:8-13,Refusing the first pull of sinful company,Generated by scripture harness,planned
3,1,Proverbs 1-2,Proverbs 1:14-19,Seeing where violent greed finally leads,Generated by scripture harness,planned
4,1,Proverbs 1-2,Proverbs 1:20-23,Hearing wisdom's public call,Generated by scripture harness,planned
5,1,Proverbs 1-2,Proverbs 1:24-28,The cost of refusing wisdom's warning,Generated by scripture harness,planned
6,1,Proverbs 1-2,Proverbs 1:29-33,Security for the one who listens,Generated by scripture harness,planned
7,1,Proverbs 1-2,Proverbs 2:1-5,Seeking wisdom like hidden treasure for gathered worship,Generated by scripture harness,planned
8,2,Proverbs 1-2,Proverbs 2:6-8,Wisdom given and guarded by the Lord,Generated by scripture harness,planned
9,2,Proverbs 1-2,Proverbs 2:9-11,Discernment shaping the whole path,Generated by scripture harness,planned
10,2,Proverbs 1-2,Proverbs 2:12-15,Delivered from crooked speech and paths,Generated by scripture harness,planned
11,2,Proverbs 1-2,Proverbs 2:16-19,Delivered from seductive unfaithfulness,Generated by scripture harness,planned
12,2,Proverbs 1-2,Proverbs 2:20-22,Walking with the upright to the end,Generated by scripture harness,planned
