Day,Week,Attribute,Scripture,Theme/Focus,Notes,Status
1,1,Acts 9,Acts 9:1-3,Hostile zeal on the road to Damascus,Generated by scripture harness,planned
2,1,Acts 9,Acts 9:4-6,Confronted directly by the risen Lord,Generated by scripture harness,planned
3,1,Acts 9,Acts 9:7-9,Helplessness after proud certainty,Generated by scripture harness,planned
4,1,Acts 9,Acts 9:10-12,Ananias summoned into costly obedience,Generated by scripture harness,planned
5,1,Acts 9,Acts 9:13-16,Mercy for the least expected person,Generated by scripture harness,planned
6,1,Acts 9,Acts 9:17-19,Restored sight and received fellowship,Generated by scripture harness,planned
7,1,Acts 9,Acts 9:20-22,New allegiance becoming public witness,Generated by scripture harness,planned
8,2,Acts 9,Acts 9:23-25,Preserved through danger and opposition,Generated by scripture harness,planned
9,2,Acts 9,Acts 9:26-31,The church strengthened in holy peace,Generated by scripture harness,planned
10,2,Acts 9,Acts 9:32-35,Healing that turns hearts toward the Lord,Generated by scripture harness,planned
11,2,Acts 9,Acts 9:36-39,Mercy remembered in a grieving community,Generated by scripture harness,planned
12,2,Acts 9,Acts 9:40-43,Resurrection mercy and ordinary readiness,Generated by scripture harness,planned
