Day,Week,Attribute,Scripture,Theme/Focus,Notes,Status
1,1,Habakkuk 1-3,Habakkuk 1:1-4,Day 1 focus | Habakkuk 1:1-4,Generated by scripture harness,planned
2,1,Habakkuk 1-3,Habakkuk 1:5-9,Day 2 focus | Habakkuk 1:5-9,Generated by scripture harness,planned
3,1,Habakkuk 1-3,Habakkuk 1:10-14,Day 3 focus | Habakkuk 1:10-14,Generated by scripture harness,planned
4,1,Habakkuk 1-3,Habakkuk 1:15-17,Day 4 focus | Habakkuk 1:15-17,Generated by scripture harness,planned
5,1,Habakkuk 1-3,Habakkuk 2:2-6,Day 5 focus | Habakkuk 2:2-6,Generated by scripture harness,planned
6,1,Habakkuk 1-3,Habakkuk 2:7-11,Day 6 focus | Habakkuk 2:7-11,Generated by scripture harness,planned
7,1,Habakkuk 1-3,Habakkuk 2:12-15,Day 7 focus | Habakkuk 2:12-15,Generated by scripture harness,planned
8,2,Habakkuk 1-3,Habakkuk 2:16-20,Day 8 focus | Habakkuk 2:16-20,Generated by scripture harness,planned
9,2,Habakkuk 1-3,Habakkuk 3:1-5,Day 9 focus | Habakkuk 3:1-5,Generated by scripture harness,planned
10,2,Habakkuk 1-3,Habakkuk 3:6-9,Day 10 focus | Habakkuk 3:6-9,Generated by scripture harness,planned
11,2,Habakkuk 1-3,Habakkuk 3:10-14,Day 11 focus | Habakkuk 3:10-14,Generated by scripture harness,planned
12,2,Habakkuk 1-3,Habakkuk 3:15-19,Day 12 focus | Habakkuk 3:15-19,Generated by scripture harness,planned
